devicename,sensor,deviceid,value,dbtimestamp
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:39:35.9718950
NDS011,7 in 1 Soil Sensor Moisture,12,31.6,2024-07-30T18:39:35.9677110
NDS011,SCD41 Humidity,12,94.435036,2024-07-30T18:39:35.2568510
NDS011,SCD41 Temperature,12,28.524834,2024-07-30T18:39:35.2458130
NDS011,SCD41 CO2,12,463,2024-07-30T18:39:35.2414620
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:39:04.2669370
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:39:04.2626480
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:39:04.2578520
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:39:04.2473790
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:39:04.2425260
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:39:04.2324230
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:39:04.2279620
NDS011,SCD41 Humidity,12,94.36942,2024-07-30T18:39:03.4160120
NDS011,SCD41 Temperature,12,28.49813,2024-07-30T18:39:03.4112570
NDS011,SCD41 CO2,12,467,2024-07-30T18:39:03.4008370
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:38:32.6206340
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:38:32.6168240
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:38:32.6083690
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:38:32.6044330
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:38:32.5997510
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:38:32.5910090
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:38:32.5848220
NDS011,SCD41 Humidity,12,94.31449,2024-07-30T18:38:31.8619140
NDS011,SCD41 Temperature,12,28.535515,2024-07-30T18:38:31.8572200
NDS011,SCD41 CO2,12,470,2024-07-30T18:38:31.8471570
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:38:01.0788350
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:38:01.0742840
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:38:01.0694520
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:38:01.0591850
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:38:01.0536180
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:38:01.0437250
NDS011,7 in 1 Soil Sensor Moisture,12,28.7,2024-07-30T18:38:01.0395460
NDS011,SCD41 Humidity,12,94.95842,2024-07-30T18:38:00.4127030
NDS011,SCD41 Temperature,12,28.594263,2024-07-30T18:38:00.4024550
NDS011,SCD41 CO2,12,471,2024-07-30T18:38:00.3982590
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:37:29.6367380
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:37:29.6282130
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:37:29.6240780
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:37:29.6198530
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:37:29.6112840
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:37:29.6068060
NDS011,7 in 1 Soil Sensor Moisture,12,31,2024-07-30T18:37:29.6024590
NDS011,SCD41 Humidity,12,95.251396,2024-07-30T18:37:28.9782250
NDS011,SCD41 Temperature,12,28.562218,2024-07-30T18:37:28.9698340
NDS011,SCD41 CO2,12,469,2024-07-30T18:37:28.9656130
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:36:58.2014830
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:36:58.1976200
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:36:58.1888770
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:36:58.1846540
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:36:58.1802790
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:36:58.1720040
NDS011,7 in 1 Soil Sensor Moisture,12,31.6,2024-07-30T18:36:58.1678040
NDS011,SCD41 Humidity,12,94.49912,2024-07-30T18:36:57.4468680
NDS011,SCD41 Temperature,12,28.524834,2024-07-30T18:36:57.4389840
NDS011,SCD41 CO2,12,468,2024-07-30T18:36:57.4348780
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:36:26.6771880
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:36:26.4190490
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:36:26.1968250
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:36:25.9870260
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:36:25.8220940
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:36:25.5975850
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:36:25.3717560
NDS011,SCD41 Humidity,12,94.59373,2024-07-30T18:36:24.4589090
NDS011,SCD41 Temperature,12,28.548866,2024-07-30T18:36:23.8836670
NDS011,SCD41 CO2,12,475,2024-07-30T18:36:23.7556300
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T18:35:52.9519710
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T18:35:52.9439770
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:35:52.9400530
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:35:52.9357630
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T18:35:52.9277210
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:35:52.9236000
NDS011,7 in 1 Soil Sensor Moisture,12,31.6,2024-07-30T18:35:52.9196030
NDS011,SCD41 Humidity,12,94.709694,2024-07-30T18:35:52.3288070
NDS011,SCD41 Temperature,12,28.588923,2024-07-30T18:35:52.3206360
NDS011,SCD41 CO2,12,475,2024-07-30T18:35:52.3166820
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:35:21.6306300
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:35:21.6227800
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:35:21.6187430
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:35:21.6144650
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:35:21.6066330
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:35:21.6023790
NDS011,7 in 1 Soil Sensor Moisture,12,29.9,2024-07-30T18:35:21.5982800
NDS011,SCD41 Humidity,12,94.85161,2024-07-30T18:35:20.9901220
NDS011,SCD41 Temperature,12,28.599604,2024-07-30T18:35:20.9819790
NDS011,SCD41 CO2,12,477,2024-07-30T18:35:20.9776350
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:34:50.2034900
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:34:50.1956340
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:34:50.1906090
NDS011,7 in 1 Soil Sensor PH,12,4.8,2024-07-30T18:34:50.1859740
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:34:50.1781380
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:34:50.1739140
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:34:50.1697750
NDS011,SCD41 Humidity,12,94.95232,2024-07-30T18:34:49.5510090
NDS011,SCD41 Temperature,12,28.591593,2024-07-30T18:34:49.5433160
NDS011,SCD41 CO2,12,480,2024-07-30T18:34:49.5392020
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T18:34:18.8522570
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T18:34:18.8441860
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T18:34:18.8399930
NDS011,7 in 1 Soil Sensor PH,12,4.9,2024-07-30T18:34:18.8354010
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T18:34:18.8276190
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:34:18.8234390
NDS011,7 in 1 Soil Sensor Moisture,12,29,2024-07-30T18:34:18.8191610
NDS011,SCD41 Humidity,12,95.47875,2024-07-30T18:34:18.2221160
NDS011,SCD41 Temperature,12,28.610285,2024-07-30T18:34:18.2142730
NDS011,SCD41 CO2,12,480,2024-07-30T18:34:18.2100910
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T18:33:47.4287670
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T18:33:47.4245910
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T18:33:47.4206570
NDS011,7 in 1 Soil Sensor PH,12,4.9,2024-07-30T18:33:47.4130310
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T18:33:47.4087160
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:33:47.4046640
NDS011,7 in 1 Soil Sensor Moisture,12,28,2024-07-30T18:33:47.4005750
NDS011,SCD41 Humidity,12,94.93706,2024-07-30T18:33:46.7950700
NDS011,SCD41 Temperature,12,28.615625,2024-07-30T18:33:46.7905930
NDS011,SCD41 CO2,12,480,2024-07-30T18:33:46.7856250
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:33:16.0848330
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:33:16.0775010
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:33:16.0731740
NDS011,7 in 1 Soil Sensor PH,12,5,2024-07-30T18:33:16.0688720
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:33:16.0612100
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:33:16.0568570
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T18:33:16.0520860
NDS011,SCD41 Humidity,12,95.6054,2024-07-30T18:33:15.3375180
NDS011,SCD41 Temperature,12,28.644999,2024-07-30T18:33:15.3332230
NDS011,SCD41 CO2,12,482,2024-07-30T18:33:15.3247480
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:32:44.6508150
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:32:44.6466550
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:32:44.6424430
NDS011,7 in 1 Soil Sensor PH,12,5.1,2024-07-30T18:32:44.6347360
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:32:44.6306740
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:32:44.6266820
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:32:44.6192960
NDS011,SCD41 Humidity,12,94.72343,2024-07-30T18:32:43.9064280
NDS011,SCD41 Temperature,12,28.610285,2024-07-30T18:32:43.8990940
NDS011,SCD41 CO2,12,483,2024-07-30T18:32:43.8949830
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:32:13.2205320
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:32:13.2121460
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:32:13.2071020
NDS011,7 in 1 Soil Sensor PH,12,5.1,2024-07-30T18:32:13.1985040
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:32:13.1942230
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:32:13.1903430
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:32:13.1861650
NDS011,SCD41 Humidity,12,94.36027,2024-07-30T18:32:12.5914670
NDS011,SCD41 Temperature,12,28.604944,2024-07-30T18:32:12.5875710
NDS011,SCD41 CO2,12,493,2024-07-30T18:32:12.5794670
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:31:41.7937850
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:31:41.7864890
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:31:41.7823360
NDS011,7 in 1 Soil Sensor PH,12,5.1,2024-07-30T18:31:41.7781020
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:31:41.7707930
